# xdata ydata
0.000000000000000000e+00 2.862532111348497832e+00
8.163265306122448328e-02 2.584087359980419052e+00
1.632653061224489666e-01 2.852388692349586918e+00
2.448979591836734637e-01 2.203280279159419930e+00
3.265306122448979331e-01 2.355052113025865701e+00
4.081632653061224025e-01 2.155800979509165050e+00
4.897959183673469274e-01 1.623859765799612109e+00
5.714285714285713969e-01 1.517737467873790047e+00
6.530612244897958663e-01 1.584605582727775408e+00
7.346938775510203357e-01 1.567803308310471433e+00
8.163265306122448051e-01 1.389269906198419502e+00
8.979591836734692745e-01 1.233093920293666379e+00
9.795918367346938549e-01 8.883117920881302698e-01
1.061224489795918213e+00 1.140391323353182162e+00
1.142857142857142794e+00 1.098145834927561237e+00
1.224489795918367152e+00 5.819501445888999314e-01
1.306122448979591733e+00 9.795758298948116227e-01
1.387755102040816313e+00 1.000166366579150479e+00
1.469387755102040671e+00 9.493786689412608837e-01
1.551020408163265252e+00 8.828186492235624572e-01
1.632653061224489610e+00 1.059044557447614832e+00
1.714285714285714191e+00 5.131186464595116625e-01
1.795918367346938549e+00 5.470071400970083486e-01
1.877551020408163129e+00 6.639069948846172409e-01
1.959183673469387710e+00 4.746549719131588629e-01
2.040816326530612290e+00 6.504896201608082462e-01
2.122448979591836427e+00 5.347931635799487715e-01
2.204081632653061007e+00 4.445889766075902250e-01
2.285714285714285587e+00 5.609671781426595061e-02
2.367346938775510168e+00 4.563103662114641468e-01
2.448979591836734304e+00 5.424235384158296869e-01
2.530612244897958885e+00 9.332811567229095662e-01
2.612244897959183465e+00 4.566855773335836144e-01
2.693877551020408045e+00 5.762543205623309461e-01
2.775510204081632626e+00 7.944147565196819638e-01
2.857142857142856762e+00 5.892603650078758193e-01
2.938775510204081343e+00 9.731407306048479589e-01
3.020408163265305923e+00 2.953680119492215206e-01
3.102040816326530503e+00 3.997534180719779506e-01
3.183673469387754640e+00 5.359781234924683169e-01
3.265306122448979220e+00 4.992782763726455464e-01
3.346938775510203801e+00 3.084209660208694359e-01
3.428571428571428381e+00 3.893335917490335918e-01
3.510204081632652962e+00 9.474867951509953201e-01
3.591836734693877098e+00 5.229339037673471635e-01
3.673469387755101678e+00 6.028864627606960180e-01
3.755102040816326259e+00 5.756889048326260250e-01
3.836734693877550839e+00 1.270815016672101061e-01
3.918367346938775420e+00 5.925416441185133998e-01
4.000000000000000000e+00 5.599196333945318793e-01
